                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2896,                 2.0064,                  1.476,                0.69049,                0.57102,                0.61553,                0.29905,                 1.7096,                 1.2713,                 1.5965,               0.070184,              0.0033129,              0.0033129
                      1,                 1.0886,                 1.1659,                 1.3002,                0.67256,                0.60549,                0.64941,                0.35162,                 1.5459,                 1.1036,                 1.4966,               0.040052,              0.0065146,              0.0065146
                      2,                 1.0917,                 1.1385,                 1.2941,                0.72528,                  0.567,                 0.6288,                0.31209,                 1.7682,                 1.2534,                 1.6641,              0.0097889,              0.0095844,              0.0095844
                      3,                 1.1326,                 1.1863,                 1.3192,                0.76663,                0.59585,                 0.6378,                0.32702,                 1.7204,                 1.3166,                 1.6956,               0.009406,               0.009406,               0.009406
                      4,                 1.1223,                 1.1427,                 1.3115,                0.81504,                 0.6189,                0.67806,                0.35111,                 1.6251,                 1.0629,                 1.6073,               0.009406,               0.009406,               0.009406
                      5,                 1.0808,                 1.0622,                 1.2852,                0.76373,                 0.6403,                0.68615,                0.36238,                 1.6233,                 1.0961,                 1.5837,               0.009208,               0.009208,               0.009208
                      6,                 1.0619,                 1.0107,                 1.2621,                0.80796,                0.66045,                0.70676,                0.36934,                 1.6867,                 1.0195,                 1.6747,                0.00901,                0.00901,                0.00901
                      7,                 1.0452,                0.99044,                 1.2631,                0.81954,                0.64188,                0.70972,                0.41409,                 1.4685,                0.94114,                 1.4855,               0.008812,               0.008812,               0.008812
                      8,                  1.026,                0.95159,                 1.2419,                0.83423,                0.63915,                0.72825,                0.42043,                 1.4538,                0.97663,                 1.4846,               0.008614,               0.008614,               0.008614
                      9,                0.99794,                0.91022,                 1.2284,                0.85734,                0.64204,                0.71955,                0.37818,                 1.6391,                0.92641,                 1.5936,               0.008416,               0.008416,               0.008416
                     10,                0.97471,                0.86903,                 1.2104,                0.86336,                 0.6546,                0.74082,                0.39859,                 1.6189,                0.89393,                 1.5693,               0.008218,               0.008218,               0.008218
                     11,                0.95102,                0.84013,                 1.1977,                 0.8713,                0.67146,                0.75888,                0.42866,                 1.5013,                0.84597,                 1.5199,                0.00802,                0.00802,                0.00802
                     12,                0.94112,                0.81806,                 1.1941,                0.86615,                0.67936,                0.74674,                0.43933,                 1.4912,                0.84976,                 1.4956,               0.007822,               0.007822,               0.007822
                     13,                0.92944,                0.80335,                 1.1851,                 0.8833,                0.68646,                0.77156,                 0.4562,                 1.4102,                0.78227,                 1.4433,               0.007624,               0.007624,               0.007624
                     14,                0.90655,                0.76918,                  1.173,                 0.8891,                 0.7043,                0.78371,                 0.4587,                 1.4093,                0.77573,                 1.4683,               0.007426,               0.007426,               0.007426
                     15,                0.89935,                0.75922,                 1.1653,                0.85673,                0.70332,                  0.767,                0.43947,                 1.4712,                0.81591,                 1.4848,               0.007228,               0.007228,               0.007228
                     16,                0.88923,                 0.7357,                 1.1564,                0.86265,                0.70833,                0.76992,                0.45217,                 1.4487,                0.80761,                  1.475,                0.00703,                0.00703,                0.00703
                     17,                0.87638,                 0.7225,                 1.1537,                0.89919,                0.70117,                0.78053,                0.47198,                 1.3619,                 0.7269,                 1.4424,               0.006832,               0.006832,               0.006832
                     18,                 0.8531,                0.68729,                 1.1355,                0.85458,                0.73086,                0.79906,                0.48434,                 1.3333,                0.75714,                 1.3829,               0.006634,               0.006634,               0.006634
                     19,                0.84282,                 0.6763,                 1.1258,                0.87166,                0.74534,                0.80538,                0.49493,                 1.3494,                0.71161,                 1.4229,               0.006436,               0.006436,               0.006436
                     20,                 0.8288,                0.66347,                 1.1194,                0.88047,                0.75301,                 0.8087,                0.51298,                 1.2706,                0.66738,                 1.3385,               0.006238,               0.006238,               0.006238
                     21,                0.81455,                0.64815,                 1.1094,                0.90777,                0.73781,                0.81649,                 0.4715,                 1.4381,                0.71189,                 1.4857,                0.00604,                0.00604,                0.00604
                     22,                 0.8004,                0.62401,                 1.1019,                0.90844,                0.74159,                0.82473,                0.49033,                 1.3499,                0.65879,                 1.4206,               0.005842,               0.005842,               0.005842
                     23,                0.80008,                0.62785,                 1.1054,                0.90952,                0.74807,                0.81354,                0.52927,                 1.1776,                0.64469,                 1.2816,               0.005644,               0.005644,               0.005644
                     24,                0.78505,                0.60535,                  1.087,                0.89825,                0.77451,                0.82969,                0.53995,                 1.2166,                0.60291,                 1.3078,               0.005446,               0.005446,               0.005446
                     25,                0.76918,                0.59068,                 1.0779,                0.89815,                0.77909,                0.83407,                 0.5421,                 1.2231,                0.59188,                 1.2876,               0.005248,               0.005248,               0.005248
                     26,                0.76346,                0.57887,                  1.078,                0.90917,                 0.7794,                0.82705,                0.53116,                 1.2635,                0.61373,                  1.319,                0.00505,                0.00505,                0.00505
                     27,                0.74786,                0.56811,                 1.0712,                0.95093,                0.74041,                0.82565,                 0.5348,                 1.2304,                0.59803,                 1.2909,               0.004852,               0.004852,               0.004852
                     28,                0.73564,                0.55434,                 1.0679,                0.90772,                0.76977,                0.83823,                0.52834,                 1.2653,                0.60697,                 1.3358,               0.004654,               0.004654,               0.004654
                     29,                0.72681,                0.54575,                 1.0551,                0.91505,                0.75672,                0.83369,                0.55041,                 1.1876,                0.57022,                 1.2829,               0.004456,               0.004456,               0.004456
                     30,                 0.7198,                0.53988,                 1.0452,                0.91413,                0.77932,                0.83966,                0.54871,                 1.2006,                0.58219,                 1.2659,               0.004258,               0.004258,               0.004258
                     31,                0.70817,                0.52915,                 1.0433,                0.91036,                0.77964,                0.83976,                0.55864,                 1.1888,                0.57042,                 1.2962,                0.00406,                0.00406,                0.00406
                     32,                0.69216,                0.51216,                 1.0388,                0.92591,                0.77407,                 0.8461,                0.55111,                 1.2136,                0.57307,                 1.3077,               0.003862,               0.003862,               0.003862
                     33,                0.68977,                0.50481,                 1.0308,                0.92334,                0.78557,                0.84864,                0.56057,                 1.1805,                0.56994,                 1.2383,               0.003664,               0.003664,               0.003664
                     34,                0.67697,                0.48941,                 1.0219,                0.90549,                0.79181,                0.85183,                0.56801,                 1.1521,                0.58153,                 1.2689,               0.003466,               0.003466,               0.003466
                     35,                0.66635,                0.48531,                 1.0237,                0.93543,                0.80395,                0.85403,                0.56788,                 1.1551,                0.54479,                 1.2714,               0.003268,               0.003268,               0.003268
                     36,                0.66222,                0.48089,                 1.0163,                0.94623,                 0.7768,                0.85007,                0.57971,                  1.117,                0.54366,                 1.2145,                0.00307,                0.00307,                0.00307
                     37,                0.64615,                0.46833,                 1.0122,                 0.9269,                0.80158,                0.85082,                0.59207,                 1.0599,                0.51705,                 1.2024,               0.002872,               0.002872,               0.002872
                     38,                0.64417,                0.46181,                 1.0054,                0.93721,                0.78889,                0.85174,                0.55586,                 1.1994,                0.54444,                 1.2892,               0.002674,               0.002674,               0.002674
                     39,                0.62728,                0.45199,                0.99683,                0.92281,                0.81435,                0.86639,                0.58308,                 1.1365,                 0.5001,                 1.2469,               0.002476,               0.002476,               0.002476
                     40,                 0.6234,                0.38594,                0.98252,                0.93721,                 0.7836,                0.84822,                0.57833,                 1.0943,                 0.5134,                 1.2239,               0.002278,               0.002278,               0.002278
                     41,                0.61395,                0.36895,                0.97724,                0.92173,                0.80743,                0.85678,                 0.5814,                 1.1426,                0.52564,                 1.2399,                0.00208,                0.00208,                0.00208
                     42,                0.60143,                0.36477,                0.97248,                0.91877,                0.80645,                0.85965,                0.58986,                 1.0912,                0.51108,                 1.1996,               0.001882,               0.001882,               0.001882
                     43,                0.58877,                0.35505,                0.96083,                0.94073,                0.80725,                0.86126,                 0.5999,                 1.0529,                0.49553,                 1.1655,               0.001684,               0.001684,               0.001684
                     44,                0.57302,                0.34542,                0.95095,                0.92937,                 0.8025,                0.86081,                0.59566,                  1.085,                 0.4983,                 1.1961,               0.001486,               0.001486,               0.001486
                     45,                0.56095,                 0.3374,                0.94751,                0.94683,                 0.7976,                0.86224,                0.59334,                 1.0906,                0.49773,                 1.2015,               0.001288,               0.001288,               0.001288
                     46,                 0.5499,                0.32999,                0.94344,                0.94564,                0.79709,                0.86311,                0.59663,                 1.0582,                0.49038,                 1.1838,                0.00109,                0.00109,                0.00109
                     47,                0.54456,                0.32437,                0.94146,                0.94248,                0.80927,                0.86774,                0.59785,                 1.0595,                0.48194,                 1.1948,               0.000892,               0.000892,               0.000892
                     48,                0.53504,                0.31821,                0.93778,                0.92794,                0.81609,                0.87282,                0.60902,                  1.044,                0.47444,                 1.1879,               0.000694,               0.000694,               0.000694
                     49,                0.52013,                0.30964,                0.93081,                0.92699,                0.81557,                0.86768,                 0.6062,                 1.0435,                0.47146,                 1.1861,               0.000496,               0.000496,               0.000496
